"name","label"
"QR_d_best\1_1_A_0.jpg",4
"QR_d_best\1_1_A_1.jpg",3
"QR_d_best\1_1_A_10.jpg",2
"QR_d_best\1_1_A_11.jpg",1
"QR_d_best\1_1_A_12.jpg",4
"QR_d_best\1_1_A_13.jpg",3
"QR_d_best\1_1_A_14.jpg",2
"QR_d_best\1_1_A_15.jpg",1
"QR_d_best\1_1_A_16.jpg",4
"QR_d_best\1_1_A_17.jpg",3
"QR_d_best\1_1_A_18.jpg",2
"QR_d_best\1_1_A_19.jpg",1
"QR_d_best\1_1_A_2.jpg",2
"QR_d_best\1_1_A_3.jpg",1
"QR_d_best\1_1_A_4.jpg",4
"QR_d_best\1_1_A_5.jpg",3
"QR_d_best\1_1_A_6.jpg",2
"QR_d_best\1_1_A_7.jpg",1
"QR_d_best\1_1_A_8.jpg",4
"QR_d_best\1_1_A_9.jpg",3
"QR_d_best\1_1_B_0.jpg",4
"QR_d_best\1_1_B_1.jpg",3
"QR_d_best\1_1_B_10.jpg",2
"QR_d_best\1_1_B_11.jpg",1
"QR_d_best\1_1_B_12.jpg",4
"QR_d_best\1_1_B_13.jpg",3
"QR_d_best\1_1_B_14.jpg",2
"QR_d_best\1_1_B_15.jpg",1
"QR_d_best\1_1_B_16.jpg",4
"QR_d_best\1_1_B_17.jpg",3
"QR_d_best\1_1_B_18.jpg",2
"QR_d_best\1_1_B_19.jpg",1
"QR_d_best\1_1_B_2.jpg",2
"QR_d_best\1_1_B_3.jpg",1
"QR_d_best\1_1_B_4.jpg",4
"QR_d_best\1_1_B_5.jpg",3
"QR_d_best\1_1_B_6.jpg",2
"QR_d_best\1_1_B_7.jpg",1
"QR_d_best\1_1_B_8.jpg",4
"QR_d_best\1_1_B_9.jpg",3
"QR_d_best\1_1_C_0.jpg",1
"QR_d_best\1_1_C_1.jpg",2
"QR_d_best\1_1_C_10.jpg",3
"QR_d_best\1_1_C_11.jpg",4
"QR_d_best\1_1_C_12.jpg",1
"QR_d_best\1_1_C_13.jpg",2
"QR_d_best\1_1_C_14.jpg",3
"QR_d_best\1_1_C_15.jpg",4
"QR_d_best\1_1_C_16.jpg",1
"QR_d_best\1_1_C_17.jpg",2
"QR_d_best\1_1_C_18.jpg",3
"QR_d_best\1_1_C_19.jpg",4
"QR_d_best\1_1_C_2.jpg",3
"QR_d_best\1_1_C_3.jpg",4
"QR_d_best\1_1_C_4.jpg",1
"QR_d_best\1_1_C_5.jpg",2
"QR_d_best\1_1_C_6.jpg",3
"QR_d_best\1_1_C_7.jpg",4
"QR_d_best\1_1_C_8.jpg",1
"QR_d_best\1_1_C_9.jpg",2
"QR_d_best\1_1_D_0.jpg",1
"QR_d_best\1_1_D_1.jpg",2
"QR_d_best\1_1_D_10.jpg",3
"QR_d_best\1_1_D_11.jpg",4
"QR_d_best\1_1_D_12.jpg",1
"QR_d_best\1_1_D_13.jpg",2
"QR_d_best\1_1_D_14.jpg",3
"QR_d_best\1_1_D_15.jpg",4
"QR_d_best\1_1_D_16.jpg",1
"QR_d_best\1_1_D_17.jpg",2
"QR_d_best\1_1_D_18.jpg",3
"QR_d_best\1_1_D_19.jpg",4
"QR_d_best\1_1_D_2.jpg",3
"QR_d_best\1_1_D_3.jpg",4
"QR_d_best\1_1_D_4.jpg",1
